Brand Name,Fuel type,Aspiration,Door Panel,Design,Wheel Drive,Engine Location,Engine Type,Cylinder Count,Engine Size,Fuel System,Bore,Stroke,Compression Ratio,Horse Power,Top-RPM,City Mileage,Highway Mileage,Price in Dollars
alfa-romero,petrol,std,two,convertible,rwd,front,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495
alfa-romero,petrol,std,two,convertible,rwd,front,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500
alfa-romero,petrol,std,two,hatchback,rwd,front,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500
audi,petrol,std,four,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950
audi,petrol,std,four,sedan,4wd,front,ohc,five,136.0,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450
audi,petrol,std,two,sedan,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250
audi,petrol,std,four,sedan,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710
audi,petrol,std,four,wagon,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920
audi,petrol,turbo,four,sedan,fwd,front,ohc,five,131.0,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875
audi,petrol,turbo,two,hatchback,4wd,front,ohc,five,131.0,mpfi,3.13,3.4,7.0,160,5500.0,16,22,17072
bmw,petrol,std,two,sedan,rwd,front,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430
bmw,petrol,std,four,sedan,rwd,front,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925
bmw,petrol,std,two,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565
chevrolet,petrol,std,two,hatchback,fwd,front,l,three,61.0,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151
chevrolet,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295
chevrolet,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575
dodge,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572
dodge,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377
dodge,petrol,turbo,two,hatchback,fwd,front,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957
dodge,petrol,std,four,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229
dodge,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692
dodge,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609
dodge,petrol,turbo,?,sedan,fwd,front,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558
dodge,petrol,std,four,wagon,fwd,front,ohc,four,122.0,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921
dodge,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855
honda,petrol,std,two,hatchback,fwd,front,ohc,four,79.0,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129
honda,petrol,std,four,sedan,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295
honda,petrol,std,four,wagon,fwd,front,ohc,four,92.0,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295
honda,petrol,std,two,hatchback,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895
honda,petrol,std,two,hatchback,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945
honda,petrol,std,two,sedan,fwd,front,ohc,four,110.0,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345
isuzu,petrol,std,four,sedan,rwd,front,ohc,four,111.0,2bbl,3.31,3.23,8.5,78,4800.0,24,29,6785
isuzu,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,25856
isuzu,petrol,std,two,hatchback,rwd,front,ohc,four,119.0,spfi,3.43,3.23,9.2,90,5000.0,24,29,11048
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795
mazda,petrol,std,four,sedan,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695
mazda,petrol,std,four,sedan,fwd,front,ohc,four,91.0,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,10945
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,11845
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,13645
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,80.0,mpfi,3.17,3.31,9.4,135,6000.0,16,23,15645
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845
mazda,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595
mazda,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245
mazda,diesel,std,?,sedan,fwd,front,ohc,four,122.0,idi,3.39,3.39,22.7,64,4650.0,36,42,10795
mazda,petrol,std,four,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245
mazda,petrol,std,four,sedan,rwd,front,ohc,four,140.0,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280
mazda,diesel,std,four,sedan,rwd,front,ohc,four,134.0,idi,3.43,3.64,22.0,72,4200.0,31,39,18344
mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,25552
mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,28248
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,28176
mercury,petrol,turbo,two,hatchback,rwd,front,ohc,four,140.0,mpfi,3.78,3.12,8.0,175,5000.0,19,24,16503
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.58,3.86,7.0,145,5000.0,19,24,12629
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19,24,14869
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19,24,14489
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189
mitsubishi,petrol,turbo,four,sedan,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279
nissan,petrol,std,two,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499
nissan,diesel,std,two,sedan,fwd,front,ohc,four,103.0,idi,2.99,3.47,21.9,55,4800.0,45,50,7099
nissan,petrol,std,two,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649
nissan,petrol,std,four,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849
nissan,petrol,std,four,wagon,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349
nissan,petrol,std,two,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7299
nissan,petrol,std,two,hatchback,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7799
nissan,petrol,std,four,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7499
nissan,petrol,std,four,wagon,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7999
nissan,petrol,std,two,hardtop,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,8249
nissan,petrol,std,four,hatchback,fwd,front,ohc,four,120.0,2bbl,3.33,3.47,8.5,97,5200.0,27,34,8949
nissan,petrol,std,four,sedan,fwd,front,ohc,four,120.0,2bbl,3.33,3.47,8.5,97,5200.0,27,34,9549
nissan,petrol,std,four,sedan,fwd,front,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200.0,17,22,13499
nissan,petrol,std,four,wagon,fwd,front,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200.0,17,22,14399
nissan,petrol,std,four,sedan,fwd,front,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200.0,19,25,13499
nissan,petrol,std,two,hatchback,rwd,front,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160,5200.0,19,25,17199
nissan,petrol,turbo,two,hatchback,rwd,front,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200,5200.0,17,23,19699
nissan,petrol,std,two,hatchback,rwd,front,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160,5200.0,19,25,18399
peugot,petrol,std,four,sedan,rwd,front,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000.0,19,24,11900
peugot,diesel,turbo,four,sedan,rwd,front,l,four,152.0,idi,3.7,3.52,21.0,95,4150.0,28,33,13200
peugot,petrol,std,four,wagon,rwd,front,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000.0,19,24,12440
peugot,diesel,turbo,four,wagon,rwd,front,l,four,152.0,idi,3.7,3.52,21.0,95,4150.0,25,25,13860
peugot,petrol,std,four,sedan,rwd,front,l,four,120.0,mpfi,3.46,2.19,8.4,95,5000.0,19,24,15580
peugot,diesel,turbo,four,sedan,rwd,front,l,four,152.0,idi,3.7,3.52,21.0,95,4150.0,28,33,16900
peugot,petrol,std,four,wagon,rwd,front,l,four,120.0,mpfi,3.46,2.19,8.4,95,5000.0,19,24,16695
peugot,diesel,turbo,four,wagon,rwd,front,l,four,152.0,idi,3.7,3.52,21.0,95,4150.0,25,25,17075
peugot,petrol,std,four,sedan,rwd,front,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000.0,19,24,16630
peugot,diesel,turbo,four,sedan,rwd,front,l,four,152.0,idi,3.7,3.52,21.0,95,4150.0,28,33,17950
peugot,petrol,turbo,four,sedan,rwd,front,l,four,134.0,mpfi,3.61,3.21,7.0,142,5600.0,18,24,18150
plymouth,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5572
plymouth,petrol,turbo,two,hatchback,fwd,front,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500.0,24,30,7957
plymouth,petrol,std,four,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229
plymouth,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692
plymouth,petrol,std,four,sedan,fwd,front,ohc,four,98.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609
plymouth,petrol,std,four,wagon,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,24,30,8921
plymouth,petrol,turbo,two,hatchback,rwd,front,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19,24,12764
porsche,petrol,std,two,hatchback,rwd,front,ohc,four,151.0,mpfi,3.94,3.11,9.5,143,5500.0,19,27,22018
porsche,petrol,std,two,hatchback,rwd,front,dohcv,eight,203.0,mpfi,3.94,3.11,10.0,288,5750.0,17,28,18840
renault,petrol,std,four,wagon,fwd,front,ohc,four,132.0,mpfi,3.46,3.9,8.7,108,5197.0,23,31,9295
renault,petrol,std,two,hatchback,fwd,front,ohc,four,132.0,mpfi,3.46,3.9,8.7,108,5197.0,23,31,9895
saab,petrol,std,two,hatchback,fwd,front,ohc,four,121.0,mpfi,3.54,3.07,9.31,110,5250.0,21,28,11850
saab,petrol,std,four,sedan,fwd,front,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250.0,21,28,12170
saab,petrol,std,two,hatchback,fwd,front,ohc,four,121.0,mpfi,2.54,2.07,9.3,110,5250.0,21,28,15040
saab,petrol,std,four,sedan,fwd,front,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250.0,21,28,15510
saab,petrol,turbo,two,hatchback,fwd,front,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18150
saab,petrol,turbo,four,sedan,fwd,front,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500.0,19,26,18620
subaru,petrol,std,two,hatchback,fwd,front,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69,4900.0,31,36,5118
subaru,petrol,std,two,hatchback,fwd,front,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7053
subaru,petrol,std,two,hatchback,4wd,front,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400.0,26,31,7603
subaru,petrol,std,four,sedan,fwd,front,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4800.0,32,37,7126
subaru,petrol,std,four,sedan,fwd,front,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4400.0,28,33,7775
subaru,petrol,std,four,sedan,fwd,front,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200.0,26,32,9960
subaru,petrol,std,four,sedan,4wd,front,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800.0,24,25,9233
subaru,petrol,turbo,four,sedan,4wd,front,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111,4800.0,24,29,11259
subaru,petrol,std,four,wagon,fwd,front,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800.0,28,32,7463
subaru,petrol,std,four,wagon,fwd,front,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200.0,25,31,10198
subaru,petrol,std,four,wagon,4wd,front,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800.0,23,29,8013
subaru,petrol,turbo,four,wagon,4wd,front,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111,4800.0,23,23,11694
toyota,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,35,39,5348
toyota,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,31,38,6338
toyota,petrol,std,four,hatchback,fwd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,31,38,6488
toyota,petrol,std,four,wagon,fwd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,31,37,6918
toyota,petrol,std,four,wagon,4wd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,27,32,7898
toyota,petrol,std,four,wagon,4wd,front,ohc,four,92.0,2bbl,3.05,3.03,9.0,62,4800.0,27,32,8778
toyota,petrol,std,four,sedan,fwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,30,37,6938
toyota,petrol,std,four,hatchback,fwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,30,37,7198
toyota,diesel,std,four,sedan,fwd,front,ohc,four,110.0,idi,3.27,3.35,22.5,56,4500.0,34,36,7898
toyota,diesel,std,four,hatchback,fwd,front,ohc,four,110.0,idi,3.27,3.35,22.5,56,4500.0,38,47,7788
toyota,petrol,std,four,sedan,fwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,38,47,7738
toyota,petrol,std,four,hatchback,fwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,28,34,8358
toyota,petrol,std,four,sedan,fwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,28,34,9258
toyota,petrol,std,two,sedan,rwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,29,34,8058
toyota,petrol,std,two,hatchback,rwd,front,ohc,four,98.0,2bbl,3.19,3.03,9.0,70,4800.0,29,34,8238
toyota,petrol,std,two,sedan,rwd,front,dohc,four,98.0,mpfi,3.24,3.08,9.4,112,6600.0,26,29,9298
toyota,petrol,std,two,hatchback,rwd,front,dohc,four,98.0,mpfi,3.24,3.08,9.4,112,6600.0,26,29,9538
toyota,petrol,std,two,hardtop,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,8449
toyota,petrol,std,two,hardtop,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,9639
toyota,petrol,std,two,hatchback,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,9989
toyota,petrol,std,two,hardtop,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,11199
toyota,petrol,std,two,hatchback,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,11549
toyota,petrol,std,two,convertible,rwd,front,ohc,four,146.0,mpfi,3.62,3.5,9.3,116,4800.0,24,30,17669
toyota,petrol,std,four,sedan,fwd,front,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200.0,29,34,8948
toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,110.0,idi,3.27,3.35,22.5,73,4500.0,30,33,10698
toyota,petrol,std,four,hatchback,fwd,front,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200.0,27,32,9988
toyota,petrol,std,four,sedan,fwd,front,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200.0,27,32,10898
toyota,petrol,std,four,hatchback,fwd,front,ohc,four,122.0,mpfi,3.31,3.54,8.7,92,4200.0,27,32,11248
toyota,petrol,std,two,hatchback,rwd,front,dohc,six,171.0,mpfi,3.27,3.35,9.3,161,5200.0,20,24,16558
toyota,petrol,std,two,hatchback,rwd,front,dohc,six,171.0,mpfi,3.27,3.35,9.3,161,5200.0,19,24,15998
toyota,petrol,std,four,sedan,rwd,front,dohc,six,171.0,mpfi,3.27,3.35,9.2,156,5200.0,20,24,15690
toyota,petrol,std,four,wagon,rwd,front,dohc,six,161.0,mpfi,3.27,3.35,9.2,156,5200.0,19,24,15750
volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,97.0,idi,3.01,3.4,23.0,52,4800.0,37,46,7775
volkswagen,petrol,std,two,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250.0,27,34,7975
volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,97.0,idi,3.01,3.4,23.0,52,4800.0,37,46,7995
volkswagen,petrol,std,four,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250.0,27,34,8195
volkswagen,petrol,std,four,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,9.0,85,5250.0,27,34,8495
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,97.0,idi,3.01,3.4,23.0,68,4500.0,37,42,9495
volkswagen,petrol,std,four,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,10.0,100,5500.0,26,32,9995
volkswagen,petrol,std,two,convertible,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,8.5,90,5500.0,24,29,11595
volkswagen,petrol,std,two,hatchback,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,8.5,90,5500.0,24,29,9980
volkswagen,petrol,std,four,sedan,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,24,13295
volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,97.0,idi,3.01,3.4,23.0,68,4500.0,33,38,13845
volkswagen,petrol,std,four,wagon,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,9.0,88,5500.0,25,31,12290
volvo,petrol,std,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,23,28,12940
volvo,petrol,std,four,wagon,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,23,28,13415
volvo,petrol,std,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,24,28,15985
volvo,petrol,std,four,wagon,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,24,28,16515
volvo,petrol,turbo,four,sedan,rwd,front,ohc,four,130.0,mpfi,3.62,3.15,7.5,162,5100.0,17,22,18420
volvo,petrol,turbo,four,wagon,rwd,front,ohc,four,130.0,mpfi,3.62,3.15,7.5,162,5100.0,17,22,18950
volvo,petrol,std,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,23,28,16845
volvo,petrol,turbo,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,8.7,160,5300.0,19,25,19045
volvo,petrol,std,four,sedan,rwd,front,ohcv,six,173.0,mpfi,3.58,2.87,8.8,134,5500.0,18,23,21485
volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,145.0,idi,3.01,3.4,23.0,106,4800.0,26,27,22470
volvo,petrol,turbo,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,19,25,22625
Tesla,Electric,std,4,sedan,AWD,Front,Electric,,,Electric,,,,400,,100,120,20000
Tesla,Electric,std,4,sedan,AWD,Front,Electric,,,Electric,,,,400,,100,120,25000
Tesla,Electric,std,4,sedan,AWD,Front,Electric,,,Electric,,,,300,,100,120,24000
